id,상품명,브랜드,품번,성별,이미지_URL,현재_가격,평균_키,평균_몸무게,구매사이트,부위,스타일
612,루카 절개 와이드 데님 팬츠 Medium denim,칙스,5012127513,여,https://image.msscdn.net/thumbnails/images/goods_img/20240910/4427960/4427960_17259586349299_big.jpg?w=1200,34900,160,62,https://www.musinsa.com/products/4427960,하의,스트릿
613,슬렌티드 커브 트윌 팬츠 (차콜),퍼머넌트 아카이브,PA24F034,남,https://image.msscdn.net/thumbnails/images/goods_img/20240902/4395362/4395362_17252853117834_big.jpg?w=1200,151200,173,70,https://www.musinsa.com/products/4395362,하의,스트릿
614,스트레이트 패널드 백 슬릿 데님 팬츠 [그레이],무신사 스탠다드,MMCNP201-GR,남,https://image.msscdn.net/thumbnails/images/goods_img/20230809/3455325/3455325_16952641570363_big.jpg?w=1200,32290,177,77,https://www.musinsa.com/products/3455325,하의,스트릿
615,"와이드 레오파드 팬츠, 브라운",오피쉬,24FW 039,여,https://image.msscdn.net/thumbnails/images/goods_img/20240911/4431865/4431865_17262101284988_big.jpg?w=1200,69760,163,52,https://www.musinsa.com/products/4431865,하의,스트릿
616,GP094 본스티치 카모 벌룬 팬츠 (BLACK CAMO),글랙,GP094BC,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240726/4277451/4277451_17243104749521_big.jpg?w=1200,66850,170,65,https://www.musinsa.com/products/4277451,하의,스트릿
617,INCISION JACQUARD MIXED PANTS - KHAKI,알에스에스씨,RSCBDFBO02KH,남,https://image.msscdn.net/thumbnails/images/goods_img/20240811/4317585/4317585_17233762122291_big.jpg?w=1200,143650,172,69,https://www.musinsa.com/products/4317585,하의,스트릿
618,[M~4XL] 워싱 데님 밴딩 팬츠_블랙,스탠즈,st24fwpa00101,남,https://image.msscdn.net/thumbnails/images/goods_img/20240910/4424151/4424151_17270305693780_big.jpg?w=1200,65900,173,65,https://www.musinsa.com/products/4424151,하의,스트릿
619,우먼즈 샤기 플리스 와이드 라운지 팬츠 [헤더 브라운],무신사 스탠다드 우먼,MWCPK502-HW,여,https://image.msscdn.net/thumbnails/images/goods_img/20240716/4252007/4252007_17314666132628_big.jpg?w=1200,35890,159,46,https://www.musinsa.com/products/4252007,하의,스트릿
620,논페이드 커브드 데님 팬츠 브라운,베이스모먼트,BM24SS03002PT,남,https://image.msscdn.net/thumbnails/images/goods_img/20240201/3840549/3840549_17090818368009_big.jpg?w=1200,65600,177,75,https://www.musinsa.com/products/3840549,하의,스트릿
621,Stone Vintage Denim Balloon Pants,앵글런,AG20212006,남,https://image.msscdn.net/thumbnails/images/goods_img/20210507/1941286/1941286_1_big.jpg?w=1200,139000,174,73,https://www.musinsa.com/products/1941286,하의,스트릿
622,벨벳합포 원턱 리얼 와이드 팬츠 버건디,드마크,24FWPT09_BU,남,https://image.msscdn.net/thumbnails/images/goods_img/20241018/4536043/4536043_17295803967720_big.jpg?w=1200,65600,185,82,https://www.musinsa.com/products/4536043,하의,스트릿
623,더티 엠보 레귤러 워싱 진스 (라이트블루),쿠어,CXE4DP12K-LBL,남,https://image.msscdn.net/thumbnails/images/goods_img/20240829/4382957/4382957_17252775592074_big.jpg?w=1200,135000,178,76,https://www.musinsa.com/products/4382957,하의,스트릿
624,에센셜 와이드 플레어핏 데님 팬츠_옐로우 워싱,디미트리블랙,DBD8DP03YL,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240808/4308192/4308192_17240905081369_big.jpg?w=1200,33400,173,66,https://www.musinsa.com/products/4308192,하의,스트릿
625,MILITARY BIG LOGO SWEATPANTS_CA,가터갤러리,24FABT11CA,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240919/4443628/4443628_17272316375142_big.jpg?w=1200,69300,0,0,https://www.musinsa.com/products/4443628,하의,스트릿
626,모어 와이드 데님 팬츠 (DEEP GREY),토피,T1S-MWDPTDG,남,https://image.msscdn.net/thumbnails/images/goods_img/20210204/1778558/1778558_2_big.jpg?w=1200,32900,171,67,https://www.musinsa.com/products/1778558,하의,스트릿
627,플레어 카고 팬츠 카모 플라쥬,로어링라드,RR4FLP01CA,공용,https://image.msscdn.net/thumbnails/images/goods_img/20240806/4299375/4299375_17267954879923_big.jpg?w=1200,131200,175,63,https://www.musinsa.com/products/4299375,하의,스트릿
628,모어 와이드 데님 팬츠 (MEDIUM INDIGO),토피,T3S-MWDPTMI,남,https://image.msscdn.net/thumbnails/images/goods_img/20231027/3663071/3663071_16988865157474_big.jpg?w=1200,32900,171,67,https://www.musinsa.com/products/3663071,하의,스트릿
